id,name_ar,name_en,group,customization,priority,design_complexity,states,states_count,phase,owner,status,api_actions,blocked_by,notes
M-01,الرئيسية,Homepage,marketing,full,P0,high,default;domain-search-active;search-empty;loading,4,2,,built,,B7c,Stats section blocked until homepage numeric claims are approved or replaced
M-02,استضافة مشتركة,Shared Hosting,marketing,full,P0,high,4-plans;featured-plan;billing-cycle-toggle;currency-toggle,4,2,,built,GetProducts,I13;I14,"Pricing relocation target. Renewal price of free domain must appear on the card, not in terms"
M-03,استضافة ووردبريس,WordPress Hosting,marketing,full,P0,low,same-pattern-custom-content,1,2,,built,GetProducts,,Reuses M-02 template
M-04,استضافة سحابية,Cloud Hosting,marketing,full,P0,low,same-pattern,1,2,,built,GetProducts,,Reuses M-02 template
M-05,استضافة البريد,Email Hosting,marketing,full,P1,medium,mailbox-plans,1,2,,built,GetProducts,,
M-06,استضافة VPS,VPS Hosting,marketing,full,P1,high,spec-comparison-table;os-selection;location-selection,3,2,,built,GetProducts,,Only marketing page with a real product page today
M-07,شهادات SSL,SSL Certificates,marketing,full,P1,medium,DV-OV-Wildcard;most-popular-badge;comparison-table,3,2,,built,GetProducts,,
M-08,منشئ المواقع,Website Builder,marketing,full,P2,high,interactive-template-preview;free-trial,2,2,,built,GetProducts,,
M-09,مراقبة الموقع والخادم,Site & Server Monitoring,marketing,full,P2,medium,monitoring-plans;alerts-explainer,2,2,,built,GetProducts,,
M-10,مقارنة الباقات,Plan Comparison,marketing,full,P1,high,full-comparison-table;mobile-horizontal-scroll-or-accordion,2,2,,built,GetProducts,,NEW in v1.1 — not in original spec
M-11,البحث عن دومين,Domain Search,marketing,limited,P0,very-high,idle;searching;available;unavailable-with-alternatives;error;ai-suggestions;ai-failure,7,2,,built,DomainWhois;GetTLDPricing,I10,Hardest screen in the project. AI failure must degrade gracefully to classic search
M-12,أسعار كل الامتدادات,All TLD Pricing,marketing,limited,P1,medium,table;category-filter;search;pagination,4,2,,built,GetTLDPricing,,Genuinely limited today — becomes free if pricing relocates
M-13,نقل دومين,Domain Transfer,marketing,limited,P1,medium,domain-entry;eligibility-check;epp-code-entry;error,4,2,,built,DomainWhois,,
M-14,تفاصيل منتج مفردة,Product Detail,marketing,full,P1,medium,description;specs;faq;sticky-cta,4,2,,built,GetProducts,,
M-15,طلب نقل موقع,Site Migration Request,marketing,full,P2,low,form;confirmation;status-tracking,3,4,,built,,,NEW in v1.1. Footer already advertises a Transfer Sites support department
M-16,حالة الشبكة,Network Status,marketing,full,P2,medium,all-operational;partial-outage;full-outage;scheduled-maintenance;incident-history,5,4,,built,,C19,NEW in v1.1. Build-vs-buy decision open
M-17,من نحن,About Us,marketing,full,P1,low,default,1,3,,built,,,Page exists on the live site — redesign not net-new
M-18,اتصل بنا,Contact Us,marketing,full,P1,low,form;success;error;validation,4,3,,built,,,Page exists on the live site — redesign not net-new
